Application,Deployment,Load,Target service,Service,Backend,Requests,Fails,Median latency (ms),Average latency (ms),p95 latency (ms),p99 latency (ms),CPU (%),Memory (%),Service p50 latency (ms),Service p95 latency (ms),Service p99 latency (ms),Metric source,Data quality
GoB,IaaS only,frontend 100 users (browse),frontend,frontend,iaas,36800,0,550.00,586.22,810.00,1700.00,41.4951,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,productcatalogservice,iaas,36800,0,550.00,586.22,810.00,1700.00,9.1520,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,cartservice,iaas,36800,0,550.00,586.22,810.00,1700.00,1.9243,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,checkoutservice,iaas,36800,0,550.00,586.22,810.00,1700.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,currencyservice,iaas,36800,0,550.00,586.22,810.00,1700.00,31.4949,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,emailservice,iaas,36800,0,550.00,586.22,810.00,1700.00,0.4626,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,paymentservice,iaas,36800,0,550.00,586.22,810.00,1700.00,0.0115,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,shippingservice,iaas,36800,0,550.00,586.22,810.00,1700.00,0.0005,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,adservice,iaas,36800,0,550.00,586.22,810.00,1700.00,8.5776,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,recommendationservice,iaas,36800,0,550.00,586.22,810.00,1700.00,9.4412,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,frontend 100 users (browse),frontend,redis-cart,iaas,36800,0,550.00,586.22,810.00,1700.00,4.0859,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,frontend,iaas,29448,261,560.00,789.75,3100.00,4000.00,36.5899,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,productcatalogservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,7.8155,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,cartservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,1.5031,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,checkoutservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,0.0006,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,currencyservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,65.8556,,238.60,680.63,943.31,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,frontend 100 users (browse),frontend,emailservice,faas,29448,261,560.00,789.75,3100.00,4000.00,0.0732,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,paymentservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,0.0113,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,shippingservice,faas,29448,261,560.00,789.75,3100.00,4000.00,0.0561,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,adservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,35.4671,,3.29,9.96,77.90,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct
GoB,Hybrid,frontend 100 users (browse),frontend,recommendationservice,iaas,29448,261,560.00,789.75,3100.00,4000.00,7.7132,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,frontend 100 users (browse),frontend,redis-cart,iaas,29448,261,560.00,789.75,3100.00,4000.00,3.6946,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,frontend,iaas,56997,0,790.00,823.60,1200.00,1500.00,42.9715,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,productcatalogservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,16.3760,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,productcatalogservice 200 users (browse-product),productcatalogservice,cartservice,iaas,56997,0,790.00,823.60,1200.00,1500.00,1.8433,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
