phase,label,target_service,workload,placement_mode,users,duration_seconds,decision,health_code,locust_exit,metrics_exit,locust_request_count,locust_failure_count,locust_failure_pct,locust_median_ms,locust_avg_latency_ms,locust_p95_ms,locust_p99_ms,locust_req_rate,service,deployment,backend,cpu_pct,mem_pct,service_request_count,service_req_rate,service_error_count,service_error_pct,service_p50_ms,service_p95_ms,service_p99_ms,service_avg_latency_ms,exec_grpc_ms,faas_exec_p99_ms,cold_start_count,cold_start_p99_ms,metric_source,data_quality,stats_file,metrics_file
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,frontend,iaas,iaas,32.6333,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,productcatalogservice,iaas,iaas,7.6811,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,cartservice,iaas,iaas,2.0329,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,checkoutservice,iaas,iaas,0.0004,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,currencyservice,hybrid-dynamic,faas,42.5508,,59758.1054,251.3279,,,90.92,245.32,434.67,105.28,4.96,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,emailservice,hybrid-dynamic,faas,0.0880,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,paymentservice,iaas,iaas,0.0109,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,shippingservice,hybrid-dynamic,faas,0.1101,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,adservice,hybrid-dynamic,faas,11.7220,,17144.4336,32.5333,,,2.70,7.05,22.52,2.77,4.95,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,recommendationservice,iaas,iaas,5.6610,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_50,frontend,browse,calibration,50,180,completed,200,0,0,7060,132,1.8697,1100.00,1043.22,1900.00,2200.00,39.2798,redis-cart,iaas,iaas,3.7487,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_50_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,frontend,iaas,iaas,40.8714,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,productcatalogservice,iaas,iaas,9.0088,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,cartservice,iaas,iaas,1.8750,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,checkoutservice,iaas,iaas,0.0004,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,currencyservice,hybrid-dynamic,iaas,31.2205,,37687.7778,,,,91.43,246.41,438.93,106.05,4.96,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,emailservice,hybrid-dynamic,faas,0.0536,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,paymentservice,iaas,iaas,0.0109,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,shippingservice,hybrid-dynamic,faas,0.0596,,,,,,,,,,,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,adservice,hybrid-dynamic,iaas,25.4861,,24077.4796,54.7410,13.3333,0.0554,3.19,9.99,81.59,5.32,4.95,,,,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,recommendationservice,iaas,iaas,8.3578,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase3,calibration_frontend_100,frontend,browse,calibration,100,180,completed,200,0,0,21911,0,0.0000,560.00,592.99,860.00,1500.00,122.0840,redis-cart,iaas,iaas,3.9995,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase3/calibration_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,frontend,iaas,iaas,41.4951,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,productcatalogservice,iaas,iaas,9.1520,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,cartservice,iaas,iaas,1.9243,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,checkoutservice,iaas,iaas,0.0005,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,currencyservice,iaas,iaas,31.4949,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,emailservice,iaas,iaas,0.4626,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,paymentservice,iaas,iaas,0.0115,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,shippingservice,iaas,iaas,0.0005,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,adservice,iaas,iaas,8.5776,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,recommendationservice,iaas,iaas,9.4412,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
phase1,phase1_frontend_100,frontend,browse,iaas-only,100,300,completed,200,0,0,36800,0,0.0000,550.00,586.22,810.00,1700.00,123.1141,redis-cart,iaas,iaas,4.0859,,,,,,,,,,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_stats.csv,testing/results/all_microservices/allmicro-20260504T132028Z/phase1/phase1_frontend_100_metrics.csv
